,Party,Year,Date,Tweet,Populist,Role,Left/right,Prog/cons
0,VVD,2023,2023-02-16,We moeten doen wat nodig is om Nederland veilig te houden. Minister van Justitie en Veiligheid @DilanYesilgoz over de internationale aanpak van drugscriminaliteit rondom de havens in het EW. 👇https://t.co/AKCtlHFGrM https://t.co/u737s3vtYD,no,coalition,right,conservative
1,VVD,2023,2023-02-16,We moeten doen wat nodig is om georganiseerde misdaad aan te pakken en ons land veilig te houden. Minister van Justitie en Veiligheid @DilanYesilgoz in de Telegraaf. 👇https://t.co/7bDkHlZmba https://t.co/EZTO1hGspP,no,coalition,right,conservative
2,VVD,2023,2023-02-16,We moeten doen wat nodig is om Nederland aantrekkelijk te houden voor bedrijven. Zonder ondernemers geen banen én geen innovatieve oplossingen voor de toekomst.Tweede Kamerlid @PimVanStrien over het vestigingsklimaat bij WNL. 👇 https://t.co/NEheC5E2jL,no,coalition,right,conservative
3,VVD,2023,2023-02-16,"""Het zou naïef zijn om te denken dat er nooit meer drugs naar Nederland of Rotterdam komen. Maar je wilt ze net zo hard raken dat ze denken: dit is het ons niet meer waard.""Minister van Justitie en Veiligheid @DilanYesilgoz in de Telegraaf. 👇https://t.co/khgaNEz6vA",no,coalition,right,conservative
4,VVD,2023,2023-02-15,Lees het opiniestuk van Tweede Kamerlid @SilvioErkens over kernenergie in het EW. 👉 https://t.co/67tXUCqE0B https://t.co/rB71QMOaBV,no,coalition,right,conservative
5,VVD,2023,2023-02-15,.@groenlinks: Stop kolencentrales. kAn GeWOoN1!Nog niet dus. Doe wat nodig is en kies voor schone kernenergie! https://t.co/Gj1sGtWnid,no,coalition,right,conservative
6,VVD,2023,2023-02-14,VVD 💙 Kernenergie! #Valentijnsdag  Lees het opiniestuk van Tweede Kamerlid @SilvioErkens over kernenergie in het EW. 👉 https://t.co/67tXUCqE0B https://t.co/4VYhZkSg2z,no,coalition,right,conservative
7,VVD,2023,2023-02-14,Tweede Kamerlid @SilvioErkens in het EW over schone én betaalbare kernenergie. 👇https://t.co/67tXUCqE0B https://t.co/bw2eEHJkIw,no,coalition,right,conservative
8,VVD,2023,2023-02-14,Het sluiten van kolencentrales in 2025 is onverantwoord. De energiecrisis raakt Nederlanders hard in de portemonnee. We moeten doen wat nodig is voor schone én betaalbare energie. Tweede Kamerlid @ZelYassini bij WNL. 👇 https://t.co/9hnI4cQEjr,no,coalition,right,conservative
9,VVD,2023,2023-02-14,Lukt het niet om de QR-code te scannen? Klik dan op de link om onze date in je agenda te zetten. 👇https://t.co/TkueNj9mrO,no,coalition,right,conservative
10,VVD,2023,2023-02-14,Het is #Valentijnsdag! Zullen we afspreken op 15 maart? Scan de QR-code en zet onze date in je agenda. 💙 https://t.co/bacU2Vve7P,no,coalition,right,conservative
11,VVD,2023,2023-02-10,We moeten doen wat nodig is om antisemitisme te bestrijden. Er is geen ruimte in ons land voor Jodenhaat.Minister van Justitie en Veiligheid @DilanYesilgoz over de antisemitische projectie op het Anne Frank Huis. 👇 https://t.co/PunHwYI671,no,coalition,right,conservative
