,Party,Year,Date,Tweet,Populist,Role,Left/right,Prog/cons
0,BBB,2022,2022-06-04,"@Dierenblogger @JeannetHuizing Haha, met 1 zetel...",yes,opposition,right,conservative
1,BBB,2022,2022-10-25,@roelofoost @EMKvissers @AnjaKeuter @jandeboeruk33 Ze hebben zelf meegeschreven aan het Provinciale programma,yes,opposition,right,conservative
2,PvdA,2022,2022-11-28,"""Het is tijd om een economie vorm te geven waarin we écht waarde toekennen aan werk en ervoor zorgen dat werken veel meer gaat lonen dan het hebben van een vermogen.""@attjekuiken bij @WNLOpZondag over de keuzes die we nu moeten maken. ⤵️ https://t.co/gKV3coSM0B",no,opposition,left,progressive
3,BBB,2022,2022-10-31,@WilkoWisse @miekewiegerinck Volgens de laatste berichten zijn we een politieke partij en geen uitzendbureau 😉,yes,opposition,right,conservative
4,FvD,2022,2022-03-03,"Rutte bekommert zich om alles en iedereen behalve Nederland.Massa-immigratie naar NL? Prima, record na record wordt overtroffen.Prijzen hoger dan ooit tevoren? Geen probleem: “Je moet maar even geduld hebben”, aldus Rutte vandaag. (1/2) #FVD #Oekraine",yes,opposition,right,conservative
5,BBB,2022,2022-01-29,@JimvandenHoorn Wat is jouw vraag?,yes,opposition,right,conservative
6,D66,2022,2022-05-31,"In de Tweede Kamer zijn toch ook geen zetels gereserveerd voor Shell? Het aantal ondemocratische geborgde zetels bij de waterschappen wordt teruggedrongen. Ze zijn helaas nog niet helemaal afgeschaft, maar dit is een stap in de goede richting.https://t.co/2uOjE8ffUS",no,coalition,middle,progressive
7,GroenLinks,2023,2023-01-19,Nederland is een paradijs voor multinationals en de ultrarijken.Als docent of verpleger betaal je in ons land relatief méér belasting dan een multimiljonair.Samen met de @pvda doen wij 28 voorstellen om hier een eind aan te maken. 👇https://t.co/fA0gypFVR4,no,opposition,left,progressive
8,GroenLinks,2022,2022-03-10,“Ik roep het kabinet op: boycot Russisch gas per direct! We moeten alles doen om Poetin te stoppen en iedere euro die niet naar de oorlogsmachine van Poetin gaat is een euro gewonnen.”- @JesseKlaver #GoedemorgenNLhttps://t.co/q7M4UFJklf,no,opposition,left,progressive
9,DENK,2022,2022-05-16,Het debat op @NPORadio1 bij @TijsvandenBrink is afgelopen en gaat verder op locatie met jongeren. Morgen een reportage over dat debat met @StephanvBaarle.  Dit draadje is hiermee gesloten. Tot morgen!,no,opposition,left,progressive
