,Party,Year,Date,Tweet,Populist,Role,Left/right,Prog/cons
0,FvD,2022,2022-11-06,"""Als je niet daar al die oorlogen had gehad, dan waren heel veel mensen niet hun huis kwijtgeraakt.""In een aangrijpend interview denkt @USER na over God, de dood en het hiernamaals. Bekijk de volledige video hier: (LINK) (LINK)",yes,opposition,right,conservative
1,GroenLinks,2022,2022-05-08,"'Dit betekent niet minder abortussen, maar minder veílige abortussen.'Kamerlid @USER zojuist bij @USER over het plan van het Amerikaanse hooggerechtshof om het verworven recht op abortus terug te nemen.",no,opposition,left,progressive
2,PVV,2023,2023-01-28,"Vertrouw die PARTY-ers Rutte en Schippers niet. Ze zijn 100% verantwoordelijk voor de asieltsunami, woningnood, afbraak zorg en pensioenen, toeslagenaffaire, wegpesten boeren, belastingverhogingen, de totale afbraak van NL. Het is de firma list en bedrog. #HASHTAG #HASHTAG (LINK)",yes,opposition,right,conservative
3,FvD,2022,2022-08-02,"Rutte is nu de langstzittende premier. Zijn erfenis:-2,5 miljoen immigranten binnengelaten -Woningtekort van 400.000-Massaal vrijheden afgepakt tijdens ""corona""-Onbetaalbare boodschappen, benzine en energierekeningNederland is klaar met hem. #HASHTAG moet opstappen. #HASHTAG (LINK)",yes,opposition,right,conservative
4,CDA,2022,2022-08-23,Het PARTY is bezorgd over een politiek die de samenleving dreigt te verliezen. ‘We moeten bakens verzetten om deze impasse te doorbreken’. (LINK),no,coalition,middle,conservative
5,GroenLinks,2022,2022-03-08,"""Deze oorlog vraagt om een visie. We moeten alles doen om Oekraïne te helpen én de mensen in Nederland die nu al niet rondkomen zoveel mogelijk ontzien. Dat debat moet snel gevoerd worden."" - @USER #HASHTAG",no,opposition,left,progressive
6,FvD,2022,2022-03-09,Bekijk hier hoe we al eerder dit nepnieuws ontkrachtten: (LINK) 2/2 #HASHTAG #HASHTAG,yes,opposition,right,conservative
7,D66,2023,2023-02-18,🔴 LIVEKijk hier live mee met onze campagne-aftrap in Arnhem!(LINK),no,coalition,middle,progressive
8,PVV,2022,2022-12-22,Politieke partijen verbieden? Kunnen we dit kabinet niet verbieden?,yes,opposition,right,conservative
9,PVV,2022,2022-06-20,"Whoehaha, mooi! Weg met die PARTY-gekkigheid en lekker laten draaien die kolencentrales. Nu de boeren nog hun gang laten gaan met stikstof en PARTY kan zo worden opgeheven. 😁#HASHTAG #HASHTAG",yes,opposition,right,conservative
10,FvD,2022,2022-06-22,🚜 5 redenen waarom #HASHTAG de Nederlandse #HASHTAG onvoorwaardelijk steunt:- Onafhankelijke voedselvoorziening- Ruim 6%(!) van onze economie- Hoogste kwaliteit voedselproductie- Unieke identiteit van ons landschap- Enige échte binding met onze grond#HASHTAG,yes,opposition,right,conservative
11,GroenLinks,2022,2022-03-16,@USER Op zich best een goede tip.,no,opposition,left,progressive
12,PVV,2023,2023-03-03,Iedereen haakt af. De verkeerde keuzes worden gemaakt. We kunnen veel meer voor de Nederlanders doen als we ons geld aan onze eigen mensen besteden! Nederlanders op 1!#HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG (LINK),yes,opposition,right,conservative
13,PvdA,2022,2022-07-05,Onze plannen:💰 Verhoog het minimumloon snel naar minimaal 14 euro.💶 Eenmalige najaarstoeslag van 500 euro voor alle mensen die zorgtoeslag ontvangen.🏡 Een huurbevriezing voor sociale huurwoningen.Lees meer: (LINK),no,opposition,left,progressive
14,CDA,2022,2022-03-09,"“Wanneer raadsleden, wethouders of burgemeesters worden bedreigd of geïntimideerd, tast dat de kern van de democratie aan. Dat mogen we nooit normaal gaan vinden.” - Minister @USER over haar plannen om de weerbaarheid te versterken. 👉 (LINK) (LINK)",no,coalition,middle,conservative
